URL,Label
ilariacafiero.com/includes/dropbox/mail.126.com/,bad
'paypal.com.us.login.run.clinets.cgi-bin.webscr.upd13583585d80a13c0ddjvxhu85d80a13c0db1f9of81463215868fid.bihanos.newwayglobal.com/account.clinets/confirmed\%3Fa6=ided6aee8d43con/',bad
netcure.cl/ogd/documents/tracking.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&amp;userid,bad
www.paypal.com.info.e44.fdw.hhey5.gre4h.agtyjt.asgeqf.brtjt.acwgrjt6.sgehrj.shery4e.gjy6k6.sgey34.berhrtkjt.afweh.sey54ui.sgeh.bondessert.com/update/Thanks.php,bad
kblcontest.com/wp-content/upgrade/index.php,bad
paypal-en-cg-bin-webscr-cmd.com.plantillasmlibre.com.ar/paypal/paypal/6dccfbd59d82b159b7630adbc6b1a331/,bad
cmd.customer.service.accounts.update.web.security.update-profiles.cgi-in.physiomoves.com/www.paypal.com/cgi-in/us/security/update-paypal/service-peyment/update/login.aspx/error_login.htm,bad
anvelopebrasov.com/includes/www.securityaol.com/update.php,bad
paypal.com.secure.webscr.cmd.login.run.dispatch.5885d80a13c0db1f8e263663d3faee8d7283e7f0184a5674430f26hyt.carpinteriaseco.com/cgi.bin/,bad
mail.booksur.com/~be/paypal/_webscr1.php?cmd=_confirm&session=gx4w5u1drmu8jxhd_0jblthbz_hhr6-k2ek4hq48uljouijhn1bet4azmj0&dispatch=y4q4w3v3r3n3s2e373f3257403b474m3q3n4j3c5x4x3u3n2s3c304e2,bad
independent.academia.edu/keypass/a2VzOGlRL3NTSEhYMU5vZXRZa2xLdUw0dE5vSW5WMXhrZTNxZVlJdlhrVT0tLWZxbDBNWTZ5RGRzbC9LUXdQNG9tWGc9PQ==--404afe0742133e5962e1797f1f24db62d1efef18/t/cuEm4-KrThk5v-UoNws/WESTERNUNIONMONEYTRANSFER120,bad
bluegrasskarate.com/imaging,bad
paypalbase.com/us/webscr/secure-code5/security/login.php,bad
paypal.com-service.confirm.cgi-bin.webscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbc13c0db1f8e26load.5885d800db1f8e26load.5885d800db1f8e26load.5885d80.horsecanvaswoolsupplies.com.au/paypal/ce0bf02f2f5c81dc390f537f40bb8879/,bad
infoeletro.net/net/Internet_Banking/BRADESCO/bradesco.html,bad
www.cbice.com/images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&ssl=0&wnneirf2012-11-1306:11:34amp;dest,bad
xamateurpornlic.www1.biz/latest/xxx-porn-movie.avi.exe,bad
pitusongo.com/assets/css/dhl/,bad
www.tradelinkad.com/a2f7a8,bad
paypal.com.us.service.mail.confirmation.account.andreamarin.com.co/PayPal/0fa4d8e95fe3cc36799b1a0afbad381f/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc307c6e3c02eaed148e33524080582a25307c6e3c02eaed148e33524080582a25,bad
a2zpromotions.com.au/libraries/joomla/database/table/umel/,bad
villakidsbuffetinfantil.com/Limit-id=65722/14782fbb0a458921fb54f9a7c181755c/,bad
login.alibaba.feedback.com.kinesiologysouthwest.com.au/express/quotation.php,bad
scottrades.ru/openfile/sample/auth/view/document/,bad
howdoeslifework.com/iha/a4dbd0e21482bd3c49ba9108a7fc33ba/login.php?run=_login&amp;session=d41d8cd98f00b204e9800998ecf8427e&amp;access=d41d8cd98f00b204e9800998ecf8427e,bad
updatepaypal.c0m.uk.w3pv1s2u3xo5t2c6v2kn3fz7c9y5u2v5u2ri6o3t1k5.k0v4v3dx2s5j9uk1xble4efc1m3dxk21k3v5iu95den4m39d1it3k.adwatch.gr/account/webxscr.html,bad
gkost.ru/3658474558/3853935958353/,bad
www.sacanasia.org/images/v.html,bad
home.comcast.net/~klawrence529/5466899plkjhbvb456723e3dhjkskadhdsfdsfds.html,bad
chevyregina.com/remax2012/remax/index.htm,bad
babcibadan.org/~venemaho/s/,bad
0rz.tw/fYd0u,bad
paypal.ca.cgi.bin.webscr.cmd.home.help.dispatch.55088e263663d3faee8d0b7qe678025d883d0fa72c958850d80a1q3c0q.donnermemorial.org/,bad
stumm-orgelverein.de/SH/Alliance.php,bad
paelex.com.au//wp-loadrd.php,bad
www.xpressfx.co.za/language/en-GB/WWW.TELSTRA.COM.AU/BILLING/Action/payment/onlinepayment/update/,bad
valexo.cz/wp-content/plugins/sym/remax/remax/index.htm,bad
mlmfiles.com/wp-content/uploads/direct_ibank.sec/secure.secure.page.htn/,bad
cr-style.ru/prise/img/css/style/?475639286587364587364875368456?/C13l0_,bad
rfcert.com.br/wp-includes/glou/39cc5f3f28ad710b042e1b4bd0c95847/,bad
elserviciodelvino.mx/tiendaserviciodelvino/paypal1/9630e26f40a44a506eda5dc60a308723/,bad
ns1.ondawebserver.com.br/tribuna/HongLeongsecure/HongLeongsecure/index.htm,bad
hlanz.org/billing/system/info/update/webscr/screaming/977c4c9e18689aac7c0a78794e8ca5e2/,bad
news.mail--club.com/re?l=D0Iyr465oI9szi9vxIc,bad
wh7w.com.cn/spool/products/class/ganda/zimitza/junems/lomo/2.htm?_encoding=UTF8&amp;https://www.netflix.com/YourAccountPayment?_encoding=UTF8&amp;openid.assoc_handle=caflex&amp;openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.identity=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.mode=checkid_setup&amp;openid.ns=http://specs.openid.net/auth/2.0&amp;openid.ns.pape=http://specs.openid.net/extensions/pape/1.0&amp;openid.pape.max_auth_age=0&amp;openid.return_to=https://www.amazon.ca/gp/yourstore/home?ie=UTF8&amp;ref_=nav_custrec_signin,bad
hosting-pay765444401.tk/toate/nC1a8/,bad
faradayozone.com/skin/PI/PI/adobe%20pdf/index.html,bad
naturallgroup.com/remake/inst4llation/unit23.php,bad
personas.baincobicr.com/plantilla/,bad
vitrulux.com/science/edu/server,bad
guiadecursos.com/sistemas/sys/user/index.html,bad
tb3.co/feria-de-canton-fase-i-y-tour-en-china/,bad
